playerID,teamID,HR,BB,HBP,SO,IP,ERA
gaudich01,SFN,6,40,2,88,97.0000,3.06
gausmke01,BAL,8,13,0,49,47.6667,5.66
gearrco01,ATL,2,16,4,23,31.0000,3.77
geedi01,NYN,24,47,7,142,199.0000,3.62
germaju01,TOR,1,0,0,1,2.0000,9
germego01,NYN,1,16,0,33,34.3333,3.93
gibsoky01,MIN,7,20,5,29,51.0000,6.53
gomesbr01,TBA,4,7,0,29,19.3333,6.52
gomezje01,PIT,6,28,3,53,80.6667,3.35
gonzaal03,NYA,0,0,0,0,0.3333,0
gonzaed01,TOR,2,5,1,3,8.0000,7.88
gonzaed01,HOU,4,3,0,8,10.0000,7.2
gonzagi01,WAS,17,76,2,192,195.6667,3.36
gonzami02,MIL,10,25,2,60,50.0000,4.68
gonzami03,BAL,24,53,3,120,171.3333,3.78
gorzeto01,MIL,11,31,2,83,85.3333,3.9
grayso01,OAK,4,20,0,67,64.0000,2.67
gregelu01,SDN,3,18,4,64,66.3333,2.71
greggke01,CHN,6,32,1,56,62.0000,3.48
greinza01,LAN,13,46,7,148,177.6667,2.63
griffaj01,OAK,36,54,4,171,200.0000,3.83
grillja01,PIT,4,13,1,74,50.0000,2.7
grimmju01,TEX,15,31,1,68,89.0000,6.37
grimmju01,CHN,0,3,1,8,9.0000,2
guerrja01,LAN,1,6,1,12,10.6667,6.75
guerrma02,LAN,3,12,1,21,30.0000,4.8
guerrma02,CHN,0,5,0,9,12.6667,2.13
guilmpr01,CLE,0,3,0,1,5.3333,10.13
guthrje01,KCA,30,59,8,111,211.6667,4.04
gutieju01,KCA,2,8,1,17,29.3333,3.38
gutieju01,LAA,3,12,0,28,26.0000,5.19
hagadni01,CLE,4,21,0,30,31.3333,5.46
haleda02,ATL,0,1,0,14,11.0000,0.82
hallaro01,PHI,12,36,10,51,62.0000,6.82
hamelco01,PHI,21,50,9,202,220.0000,3.6
hammeja01,BAL,22,48,8,96,139.3333,4.97
handbr01,MIA,2,8,0,15,20.6667,3.05
handdo01,MIL,10,21,5,37,68.3333,3.69
hanrajo01,BOS,4,6,0,5,7.3333,9.82
hansoto01,LAA,10,30,3,56,73.0000,5.42
happja01,TOR,10,45,2,77,92.6667,4.56
haranaa01,SEA,21,28,5,87,120.3333,5.76
haranaa01,NYN,5,12,1,26,23.0000,3.52
harenda01,WAS,28,31,7,151,169.6667,4.67
harrelu01,HOU,20,88,6,89,153.6667,5.86
harrijo05,PIT,0,0,0,0,0.3333,0
harrima01,TEX,2,7,0,12,10.6667,8.44
harriwi02,ARI,3,15,2,53,52.6667,2.91
harvema01,NYN,7,31,4,191,178.3333,2.27
hatchch02,MIA,1,4,0,7,8.6667,12.46
hawkila01,NYN,6,10,1,55,70.6667,2.93
heathde01,CHA,2,12,0,3,7.6667,11.74
hefneje01,NYN,20,37,5,99,130.6667,4.34
hellije01,TBA,24,50,4,135,174.0000,5.17
hellwjo01,MIL,3,26,8,9,30.6667,6.75
hembrhe01,SFN,0,2,0,12,7.6667,0
hendeji01,MIL,8,24,2,75,60.0000,2.7
hendrli01,MIN,10,14,3,34,47.3333,6.85
hennse01,NYN,1,3,0,1,2.6667,3.38
hernada01,ARI,10,24,4,66,62.3333,4.48
hernafe02,SEA,15,46,3,216,204.3333,3.04
hernape02,MIN,10,23,0,29,56.6667,6.83
herreke01,KCA,9,21,2,74,58.3333,3.86
hillri01,CLE,3,29,2,51,38.6667,6.28
hochelu01,KCA,8,17,1,82,70.3333,1.92
hollade01,TEX,20,64,3,189,213.0000,3.42
hollagr01,KCA,3,18,0,103,67.0000,1.21
holmbda01,ARI,0,3,0,0,3.6667,7.36
hoovejj01,CIN,6,26,2,67,66.0000,2.86
horstje01,PHI,4,12,2,21,26.0000,6.23
howeljp01,LAN,2,23,1,54,62.0000,2.03
hudsoti01,ATL,10,36,2,95,131.3333,3.97
huffda01,CLE,0,1,0,5,3.0000,15
huffda01,NYA,7,8,1,26,34.6667,4.67
hugheja02,PIT,2,16,2,23,32.0000,4.78
hugheph01,NYA,24,42,5,121,145.6667,5.19
humbeph01,HOU,9,20,1,36,54.6667,7.9
hunteto02,BAL,11,14,2,68,86.3333,2.81
hynesco01,SDN,3,9,1,13,17.0000,9
irwinph01,PIT,0,4,0,4,4.6667,7.71
iwakuhi01,SEA,25,42,2,185,219.6667,2.66
jacksed01,CHN,16,59,5,135,175.3333,4.98
janseke01,LAN,6,18,3,111,76.6667,1.88
janssca01,TOR,3,13,2,50,52.6667,2.56
jeffrje01,TOR,1,5,0,12,10.3333,0.87
jenkich01,TOR,3,6,1,15,33.3333,2.7
jennida01,MIA,1,16,0,38,40.6667,3.76
jepseke01,LAA,3,14,1,36,36.0000,4.5
jimence01,PHI,1,10,1,11,17.0000,3.71
jimenub01,CLE,16,80,3,194,182.6667,3.3
johnser04,CHA,5,11,1,18,27.6667,3.25
johnsji04,BAL,5,18,7,56,70.3333,2.94
johnsjo09,TOR,15,30,3,83,81.3333,6.2
johnskr01,PIT,0,4,1,9,10.3333,6.1
johnsro07,SLN,0,0,0,1,0.3333,0
johnsst02,BAL,2,13,0,20,15.6667,7.47
jonesna01,CHA,5,26,1,89,78.0000,4.15
jordata01,WAS,3,11,3,29,51.6667,3.66
josepdo01,KCA,0,4,0,7,5.6667,0
jurrjja01,BAL,1,1,0,6,7.3333,4.91
karnsna01,WAS,5,6,1,11,12.0000,7.5
kazmisc01,CLE,19,47,3,162,158.0000,4.04
kellesh01,NYA,8,23,0,71,53.3333,4.39
kellyjo05,SLN,10,44,5,79,124.0000,2.69
