yearID,teamID,W,R,H,SO,BB,SF,ERA,attendance
2015,PHI,63,626,1374,1274,387,29,4.69,1831080
2015,PIT,98,697,1462,1322,461,41,3.21,2498596
2015,SDN,74,650,1324,1327,426,42,4.09,2459742
2015,SEA,76,656,1379,1336,478,35,4.16,2193581
2015,SFN,84,696,1486,1159,457,37,3.72,3375882
2015,SLN,100,647,1386,1267,506,42,2.94,3520889
2015,TBA,80,644,1383,1310,436,47,3.74,1287054
2015,TEX,88,751,1419,1233,503,54,4.24,2491875
2015,TOR,93,891,1480,1151,570,62,3.8,2794891
2015,WAS,83,703,1363,1344,539,51,3.62,2619843
2016,ARI,69,752,1479,1427,463,38,5.09,2036216
2016,ATL,68,649,1404,1240,502,52,4.51,2020914
2016,BAL,89,744,1413,1324,468,36,4.22,2172344
2016,BOS,93,878,1598,1160,558,40,4,2955434
2016,CHA,78,686,1428,1285,455,44,4.1,1746293
2016,CHN,103,808,1409,1339,656,37,3.15,3232420
2016,CIN,68,716,1403,1284,452,44,4.91,1894085
2016,CLE,94,777,1435,1246,531,60,3.84,1591667
2016,COL,75,845,1544,1330,494,34,4.91,2602524
2016,DET,86,750,1476,1303,493,38,4.24,2493859
2016,HOU,84,724,1367,1452,554,31,4.06,2306623
2016,KCA,81,675,1450,1224,382,34,4.21,2557712
2016,LAA,74,717,1410,991,471,49,4.28,3016142
2016,LAN,91,725,1376,1321,525,32,3.7,3703312
2016,MIA,79,655,1460,1213,447,38,4.05,1712417
2016,MIL,73,671,1299,1543,599,39,4.08,2314614
2016,MIN,59,722,1409,1426,513,43,5.08,1963912
2016,NYA,84,680,1378,1188,475,49,4.16,3063405
2016,NYN,87,671,1342,1302,517,41,3.57,2789602
2016,OAK,69,653,1352,1145,442,34,4.51,1521506
2016,PHI,71,610,1305,1376,424,30,4.63,1915144
2016,PIT,78,729,1426,1334,561,36,4.21,2249201
2016,SDN,68,686,1275,1500,449,36,4.43,2351422
2016,SEA,86,768,1446,1288,506,41,4,2267928
2016,SFN,87,715,1437,1107,572,46,3.65,3365256
2016,SLN,86,779,1415,1318,526,41,4.08,3444490
2016,TBA,68,672,1333,1482,449,28,4.2,1286163
2016,TEX,95,765,1446,1220,436,40,4.37,2710402
2016,TOR,89,759,1358,1362,632,40,3.78,3392099
2016,WAS,95,763,1403,1252,536,63,3.51,2481938
